condition,day,bio_rep,tech_rep,total_cells,total_hucd,neurons_percentage,contaminants_percentage
dmso,15,1,1,151,4,2.649006623,97.35099338
dmso,15,1,2,96,18,18.75,81.25
dmso,15,1,3,88,36,40.90909091,59.09090909
dmso,15,1,4,110,17,15.45454545,84.54545455
dmso,15,1,5,84,17,20.23809524,79.76190476
dmso,15,1,6,107,26,24.29906542,75.70093458
dmso,15,1,7,116,22,18.96551724,81.03448276
dmso,15,1,8,76,17,22.36842105,77.63157895
dmso,15,1,9,131,4,3.053435115,96.94656489
dmso,15,1,10,150,10,6.666666667,93.33333333
dmso,15,1,11,138,5,3.623188406,96.37681159
dmso,15,1,12,70,3,4.285714286,95.71428571
dmso,15,1,13,84,9,10.71428571,89.28571429
dmso,15,1,14,72,2,2.777777778,97.22222222
dmso,15,1,15,93,7,7.52688172,92.47311828
dmso,15,1,16,91,4,4.395604396,95.6043956
dmso,15,1,17,232,2,0.862068966,99.13793103
dmso,15,1,18,175,3,1.714285714,98.28571429
dmso,15,1,19,202,6,2.97029703,97.02970297
dmso,15,1,20,102,4,3.921568627,96.07843137
dmso,15,1,21,89,2,2.247191011,97.75280899
dmso,15,1,22,149,8,5.369127517,94.63087248
dmso,15,1,23,126,5,3.968253968,96.03174603
dmso,15,1,24,113,3,2.654867257,97.34513274
dmso,15,1,25,96,3,3.125,96.875
dmso,15,1,26,290,10,3.448275862,96.55172414
dmso,15,1,27,130,18,13.84615385,86.15384615
dmso,15,1,28,139,20,14.38848921,85.61151079
dmso,15,1,29,106,8,7.547169811,92.45283019
dmso,15,1,30,106,37,34.90566038,65.09433962
dmso,22,1,1,104,10,9.615384615,90.38461538
dmso,22,1,2,124,5,4.032258065,95.96774194
dmso,22,1,3,73,2,2.739726027,97.26027397
dmso,22,1,4,81,23,28.39506173,71.60493827
dmso,22,1,5,99,5,5.050505051,94.94949495
dmso,22,1,6,104,7,6.730769231,93.26923077
dmso,22,1,7,159,9,5.660377358,94.33962264
dmso,22,1,8,52,3,5.769230769,94.23076923
dmso,22,1,9,140,5,3.571428571,96.42857143
dmso,22,1,10,78,1,1.282051282,98.71794872
dmso,22,1,11,175,24,13.71428571,86.28571429
dmso,22,1,12,218,66,30.27522936,69.72477064
dmso,22,1,13,70,8,11.42857143,88.57142857
dmso,22,1,14,133,12,9.022556391,90.97744361
dmso,22,1,15,84,4,4.761904762,95.23809524
dapt,15,1,1,199,18,9.045226131,90.95477387
dapt,15,1,2,76,10,13.15789474,86.84210526
dapt,15,1,3,65,8,12.30769231,87.69230769
dapt,15,1,4,147,10,6.802721088,93.19727891
dapt,15,1,5,153,10,6.535947712,93.46405229
dapt,15,1,6,150,9,6,94
dapt,15,1,7,50,5,10,90
dapt,15,1,8,30,7,23.33333333,76.66666667
dapt,15,1,9,79,6,7.594936709,92.40506329
dapt,15,1,10,122,37,30.32786885,69.67213115
dapt,15,1,11,68,3,4.411764706,95.58823529
dapt,15,1,12,140,10,7.142857143,92.85714286
dapt,15,1,13,90,4,4.444444444,95.55555556
dapt,15,1,14,118,31,26.27118644,73.72881356
dapt,15,1,15,51,3,5.882352941,94.11764706
dapt,15,1,16,74,5,6.756756757,93.24324324
dapt,15,1,17,149,19,12.75167785,87.24832215
dapt,15,1,18,83,4,4.819277108,95.18072289
