condition,day,bio_rep,tech_rep,total_cells,total_sox10,total_s100b,sox10-s100b,progenitors_percentage,glia_percentage,contaminants_percentage
dmso,15,1,1,97,9,0,9,9.278350515,0,90.72164948
dmso,15,1,2,100,16,6,10,10,6,84
dmso,15,1,3,142,27,6,21,14.78873239,4.225352113,80.98591549
dmso,15,1,4,111,20,3,17,15.31531532,2.702702703,81.98198198
dmso,15,1,5,130,13,4,9,6.923076923,3.076923077,90
dmso,15,1,6,141,19,3,16,11.34751773,2.127659574,86.5248227
dmso,15,1,7,110,7,2,5,4.545454545,1.818181818,93.63636364
dmso,15,1,8,176,17,5,12,6.818181818,2.840909091,90.34090909
dmso,15,1,9,132,8,3,5,3.787878788,2.272727273,93.93939394
dmso,15,1,10,151,12,4,8,5.298013245,2.649006623,92.05298013
dmso,15,1,11,231,21,4,17,7.359307359,1.731601732,90.90909091
dmso,15,1,12,247,15,2,13,5.263157895,0.809716599,93.92712551
dmso,15,1,13,239,18,4,14,5.857740586,1.673640167,92.46861925
dmso,15,1,14,109,12,5,7,6.422018349,4.587155963,88.99082569
dmso,15,1,15,93,12,1,11,11.82795699,1.075268817,87.09677419
dmso,22,1,1,158,4,3,1,0.632911392,1.898734177,97.46835443
dmso,22,1,2,184,38,13,25,13.58695652,7.065217391,79.34782609
dmso,22,1,3,268,27,13,14,5.223880597,4.850746269,89.92537313
dmso,22,1,4,400,56,8,48,12,2,86
dmso,22,1,5,340,30,16,14,4.117647059,4.705882353,91.17647059
dmso,22,1,6,220,40,18,22,10,8.181818182,81.81818182
dmso,22,1,7,140,32,12,20,14.28571429,8.571428571,77.14285714
dmso,22,1,8,134,23,14,9,6.71641791,10.44776119,82.8358209
dmso,22,1,9,86,23,17,6,6.976744186,19.76744186,73.25581395
dmso,22,1,10,106,27,15,12,11.32075472,14.1509434,74.52830189
dmso,22,1,11,134,34,16,18,13.43283582,11.94029851,74.62686567
dmso,22,1,12,338,29,12,17,5.029585799,3.550295858,91.42011834
dmso,22,1,13,274,22,16,6,2.189781022,5.839416058,91.97080292
dmso,22,1,14,212,17,14,3,1.41509434,6.603773585,91.98113208
dmso,22,1,15,200,38,10,28,14,5,81
dapt,15,1,1,169,16,12,4,2.366863905,7.100591716,90.53254438
dapt,15,1,2,210,17,3,14,6.666666667,1.428571429,91.9047619
dapt,15,1,3,82,11,8,3,3.658536585,9.756097561,86.58536585
dapt,15,1,4,65,14,13,1,1.538461538,20,78.46153846
dapt,15,1,5,77,15,13,2,2.597402597,16.88311688,80.51948052
dapt,15,1,6,101,18,14,4,3.96039604,13.86138614,82.17821782
dapt,15,1,7,53,7,6,1,1.886792453,11.32075472,86.79245283
dapt,15,1,8,207,8,5,3,1.449275362,2.415458937,96.1352657
dapt,15,1,9,112,9,6,3,2.678571429,5.357142857,91.96428571
dapt,15,1,10,133,10,6,4,3.007518797,4.511278195,92.48120301
dapt,15,1,11,137,16,8,8,5.839416058,5.839416058,88.32116788
dapt,15,1,12,138,17,7,10,7.246376812,5.072463768,87.68115942
dapt,15,1,13,109,12,10,2,1.834862385,9.174311927,88.99082569
dapt,15,1,14,152,13,7,6,3.947368421,4.605263158,91.44736842
dapt,15,1,15,120,16,11,5,4.166666667,9.166666667,86.66666667
