condition,model,parameter,Mean,SD,Median,IQR,N
dapt,"('constant', 'constant')",p_initial,0.4000000000000001,0.0,0.4,0.0,2035
dapt,"('constant', 'varying')",p_initial,0.4000000000000001,0.0,0.4,0.0,1915
dapt,"('varying', 'constant')",p_initial,0.4,0.0,0.4,0.0,2110
dapt,"('varying', 'varying')",p_initial,0.4000000000000001,0.0,0.4,0.0,1940
dapt,"('constant', 'constant')",alpha,-0.3085744156126909,0.1136042423787796,-0.3126530744172999,0.1931944324811648,2035
dapt,"('constant', 'varying')",alpha,-0.3034005057094624,0.111309869530015,-0.3009728465179524,0.1881836359470755,1915
dapt,"('varying', 'constant')",alpha,-0.309049944134697,0.1122809026635851,-0.311342069967949,0.1900877284471296,2110
dapt,"('varying', 'varying')",alpha,-0.3054222999106137,0.111488123018603,-0.3026645322819525,0.1881979832832609,1940
dapt,"('constant', 'constant')",mu,0.201244767707058,0.1135399011530285,0.2031738244222088,0.1933593536228522,2035
dapt,"('constant', 'varying')",mu,0.1876279550404381,0.1109970054457605,0.1822500171421116,0.1893014510712265,1915
dapt,"('varying', 'constant')",mu,0.1960243292140298,0.1122885961075367,0.1975961369688235,0.1894366342736387,2110
dapt,"('varying', 'varying')",mu,0.1853562924096588,0.1108096307924784,0.1823775955229218,0.1872407500685968,1940
dapt,"('constant', 'constant')",k_diff_initial,0.3645411847951186,0.0790295385251233,0.3664782853095495,0.130382259210859,2035
dapt,"('constant', 'varying')",k_diff_initial,0.3552438831270274,0.0827922142957533,0.3556031295410529,0.1326833037947965,1915
dapt,"('varying', 'constant')",k_diff_initial,0.3405007093755139,0.1110951821002901,0.3591533458410526,0.1684517084891826,2110
dapt,"('varying', 'varying')",k_diff_initial,0.3370467582537967,0.114525203839936,0.3521625755063508,0.1797132720582864,1940
dapt,"('varying', 'constant')",k_diff_gradient,-0.0057513807460047,0.033844635864445,-0.0061198739661052,0.04927965708963,2110
dapt,"('varying', 'varying')",k_diff_gradient,-0.0053591664730843,0.032443488173233,-0.005136749345449,0.0454946667814055,1940
dapt,"('constant', 'constant')",rho_n_initial,0.543920495121892,0.0918656138370769,0.5410554772257056,0.1387829853906727,2035
dapt,"('constant', 'varying')",rho_n_initial,0.6275771339794999,0.1483774892191389,0.621096372931622,0.2165279764809956,1915
dapt,"('varying', 'constant')",rho_n_initial,0.5418978536652815,0.0935346273564153,0.5356411551385718,0.1370537378709604,2110
dapt,"('varying', 'varying')",rho_n_initial,0.6313584803497099,0.1536574049377348,0.6302513090328012,0.2347806763391895,1940
dapt,"('constant', 'varying')",rho_n_gradient,-0.0516186783146786,0.0545074690672694,-0.0603092870787268,0.0778745879157325,1915
dapt,"('varying', 'varying')",rho_n_gradient,-0.0516119983280126,0.0558779891658157,-0.0617269053075785,0.0798535182429994,1940
dapt,"('constant', 'constant')",rho_g_initial,0.3910637924303844,0.0859350726294828,0.3860133635816791,0.1300051698709365,2035
dapt,"('constant', 'varying')",rho_g_initial,0.28238969746759,0.1529530093711342,0.2774156363655715,0.2344403973578574,1915
dapt,"('varying', 'constant')",rho_g_initial,0.3941717126765633,0.0889538628298928,0.3894563683879691,0.1326762596913488,2110
dapt,"('varying', 'varying')",rho_g_initial,0.2795625612044549,0.1604150198706734,0.2737987321599856,0.2485187529665841,1940
dapt,"('constant', 'varying')",rho_g_gradient,0.0415566778073501,0.0554533987554321,0.0481459778304594,0.0797155975943722,1915
dapt,"('varying', 'varying')",rho_g_gradient,0.0434832610721041,0.0580148341087547,0.0498141851647008,0.0863548476892236,1940
dmso,"('constant', 'constant')",p_initial,0.4344074974076606,0.1487580854969636,0.402910666069545,0.1676295164813334,1490
dmso,"('constant', 'varying')",p_initial,0.4253160773583797,0.1355630549068683,0.3978035166326976,0.1603203956085624,2020
dmso,"('varying', 'constant')",p_initial,0.4391120155238535,0.1542028022956555,0.4000904818115909,0.1854964867176844,1936
dmso,"('varying', 'varying')",p_initial,0.4340200551691227,0.1417081526071391,0.4058743296339883,0.1656734577462242,2554
dmso,"('constant', 'constant')",alpha,-0.2519818822260385,0.1364053230008093,-0.2486999879253228,0.2223041844977595,1490
dmso,"('constant', 'varying')",alpha,-0.2646768467129857,0.1332982159762522,-0.2689547502340232,0.2185361297311478,2020
dmso,"('varying', 'constant')",alpha,-0.2688080016297324,0.1345143215340199,-0.2694184866422962,0.2273091425876836,1936
dmso,"('varying', 'varying')",alpha,-0.2727973547496074,0.1345977812422294,-0.2790797204992038,0.2241613292930758,2554
dmso,"('constant', 'constant')",mu,0.2219624454546688,0.132989943849803,0.2164320578678942,0.2196461949169027,1490
dmso,"('constant', 'varying')",mu,0.2239501078820046,0.132773633035446,0.221979399142581,0.2234928313955957,2020
dmso,"('varying', 'constant')",mu,0.2277014488772097,0.1336528228461883,0.2239900302296723,0.2255393168343338,1936
dmso,"('varying', 'varying')",mu,0.2250040183961274,0.1334818185673022,0.2251378282835837,0.2302807171673553,2554
dmso,"('constant', 'constant')",k_diff_initial,0.2214138160713086,0.0590165207247433,0.2165650657069636,0.080299442736184,1490
dmso,"('constant', 'varying')",k_diff_initial,0.2199031586301819,0.0603811774870529,0.2145801345178081,0.0845638244312595,2020
dmso,"('varying', 'constant')",k_diff_initial,0.2789650947016766,0.125428195294849,0.2808591595795526,0.1997248609589004,1936
dmso,"('varying', 'varying')",k_diff_initial,0.2798724713077589,0.1243563493681474,0.2877269433872332,0.1850769908867887,2554
dmso,"('varying', 'constant')",k_diff_gradient,-0.0124525791508476,0.0349485737792863,-0.0148682843950585,0.049432309475186,1936
dmso,"('varying', 'varying')",k_diff_gradient,-0.012840686938306,0.0357621845861527,-0.016576710284867,0.048660038551399,2554
dmso,"('constant', 'constant')",rho_n_initial,0.4740444296378974,0.1650750779023144,0.4749050739211191,0.2377087263789019,1490
dmso,"('constant', 'varying')",rho_n_initial,0.4541330490110193,0.2234324902418566,0.4493650582634447,0.3413353831383227,2020
dmso,"('varying', 'constant')",rho_n_initial,0.4450800941556927,0.1700739805639938,0.4433544359682704,0.2613367668557222,1936
dmso,"('varying', 'varying')",rho_n_initial,0.4246752964676097,0.2119940458832001,0.4197291251857182,0.3094968001103936,2554
dmso,"('constant', 'varying')",rho_n_gradient,-0.0048728978583638,0.0631917293651673,-0.0076745246828456,0.0965034445762972,2020
dmso,"('varying', 'varying')",rho_n_gradient,-0.0048641689904656,0.0609257008417157,-0.0069591330601557,0.0900223011667931,2554
dmso,"('constant', 'constant')",rho_g_initial,0.2124404480858244,0.0957281241672041,0.1971734192480177,0.1266978674360541,1490
dmso,"('constant', 'varying')",rho_g_initial,0.176994956196926,0.1336224579280325,0.1501128147338373,0.1862224883688003,2020
dmso,"('varying', 'constant')",rho_g_initial,0.2093535751556301,0.0940190559041928,0.1962187070609128,0.1350643270661141,1936
dmso,"('varying', 'varying')",rho_g_initial,0.1841125555942916,0.1344514839455072,0.1604672924814568,0.196618740928064,2554
