condition,day,bio_rep,neural,progenitors,glial
dapt,15,1,0.11473313483013421,0.03523011714437851,0.08432834667449461
dapt,15,2,0.49523536330041623,0.1090006287838218,0.06775582589907155
dapt,15,3,0.31703235008893077,0.13214465664650146,0.18170642270622814
dapt,15,4,0.3541170750306648,0.10229429241473853,0.1435398682712255
dapt,15,5,0.48654493250148456,0.05270768073037994,0.15641904778457238
dapt,22,1,0.34918769459414556,0.02681584474393755,0.07372087752012228
dapt,22,2,0.23113705872241253,0.0615289516249458,0.13864451527716865
dapt,22,3,0.5472499381900822,0.14736688945188384,0.1993893927391394
dapt,22,4,0.3797685731963726,0.07235280775560377,0.33891454423498785
dapt,22,5,0.7741387749878977,0.028148688964228452,0.22787106269665927
dmso,15,1,0.10254856840499911,0.08322180163530433,0.025060563699845162
dmso,15,2,0.15881269266576842,0.06822860501193265,0.009705439218495822
dmso,15,3,0.20263377663583826,0.14860591897271216,0.03840146241285739
dmso,15,4,0.1305496814115389,0.11691645160564051,0.05793745501754872
dmso,15,5,0.17961887384615008,0.08691259281762717,0.03971720257224618
dmso,22,1,0.0946995602344707,0.08061888243360325,0.07638250493522417
dmso,22,2,0.16084948092459408,0.05183186176414119,0.08222156979692498
dmso,22,3,0.2613865041335672,0.09684049097973584,0.09000306726509626
dmso,22,4,0.1509909199827287,0.08162874454957252,0.1250878436126141
dmso,22,5,0.44592529490511795,0.019710461686015326,0.13654162724201432
