condition,day,bio_rep,tech_rep,neural
DMSO,15,1,1,0.026490066225165563
DMSO,15,1,2,0.1875
DMSO,15,1,3,0.4090909090909091
DMSO,15,1,4,0.15454545454545454
DMSO,15,1,5,0.20238095238095238
DMSO,15,1,6,0.24299065420560748
DMSO,15,1,7,0.1896551724137931
DMSO,15,1,8,0.2236842105263158
DMSO,15,1,9,0.030534351145038167
DMSO,15,1,10,0.06666666666666667
DMSO,15,1,11,0.036231884057971016
DMSO,15,1,12,0.04285714285714286
DMSO,15,1,13,0.10714285714285714
DMSO,15,1,14,0.027777777777777776
DMSO,15,1,15,0.07526881720430108
DMSO,15,1,16,0.04395604395604396
DMSO,15,1,17,0.008620689655172414
DMSO,15,1,18,0.017142857142857144
DMSO,15,1,19,0.0297029702970297
DMSO,15,1,20,0.0392156862745098
DMSO,15,1,21,0.02247191011235955
DMSO,15,1,22,0.053691275167785234
DMSO,15,1,23,0.03968253968253968
DMSO,15,1,24,0.02654867256637168
DMSO,15,1,25,0.03125
DMSO,15,1,26,0.034482758620689655
DMSO,15,1,27,0.13846153846153847
DMSO,15,1,28,0.14388489208633093
DMSO,15,1,29,0.07547169811320754
DMSO,15,1,30,0.3490566037735849
DMSO,22,1,1,0.09615384615384616
DMSO,22,1,2,0.04032258064516129
DMSO,22,1,3,0.0273972602739726
DMSO,22,1,4,0.2839506172839506
DMSO,22,1,5,0.050505050505050504
DMSO,22,1,6,0.0673076923076923
DMSO,22,1,7,0.05660377358490566
DMSO,22,1,8,0.057692307692307696
DMSO,22,1,9,0.03571428571428571
DMSO,22,1,10,0.01282051282051282
DMSO,22,1,11,0.13714285714285715
DMSO,22,1,12,0.30275229357798167
DMSO,22,1,13,0.11428571428571428
DMSO,22,1,14,0.09022556390977443
DMSO,22,1,15,0.047619047619047616
DAPT,15,1,1,0.09045226130653267
DAPT,15,1,2,0.13157894736842105
DAPT,15,1,3,0.12307692307692308
DAPT,15,1,4,0.06802721088435375
DAPT,15,1,5,0.06535947712418301
DAPT,15,1,6,0.06
DAPT,15,1,7,0.1
DAPT,15,1,8,0.23333333333333334
DAPT,15,1,9,0.0759493670886076
DAPT,15,1,10,0.30327868852459017
DAPT,15,1,11,0.04411764705882353
DAPT,15,1,12,0.07142857142857142
DAPT,15,1,13,0.044444444444444446
DAPT,15,1,14,0.2627118644067797
DAPT,15,1,15,0.058823529411764705
DAPT,15,1,16,0.06756756756756757
DAPT,15,1,17,0.12751677852348994
DAPT,15,1,18,0.04819277108433735
DAPT,15,1,19,0.23809523809523808
DAPT,15,1,20,0.08181818181818182
DAPT,15,1,21,0.06716417910447761
DAPT,15,1,22,0.09259259259259259
DAPT,15,1,23,0.11409395973154363
DAPT,15,1,24,0.05825242718446602
DAPT,15,1,25,0.13846153846153847
DAPT,15,1,26,0.1188118811881188
DAPT,15,1,27,0.23529411764705882
DAPT,15,1,28,0.08196721311475409
DAPT,15,1,29,0.08333333333333333
DAPT,15,1,30,0.15625
DAPT,22,1,1,0.4810126582278481
DAPT,22,1,2,0.2571428571428571
DAPT,22,1,3,0.7037037037037037
DAPT,22,1,4,0.620253164556962
DAPT,22,1,5,0.5396825396825397
DAPT,22,1,6,0.39215686274509803
DAPT,22,1,7,0.09036144578313253
DAPT,22,1,8,0.12087912087912088
DAPT,22,1,9,0.16666666666666666
DAPT,22,1,10,0.14814814814814814
DAPT,22,1,11,0.18888888888888888
DAPT,22,1,12,0.3114754098360656
DAPT,22,1,13,0.46987951807228917
